posted_date,location,company,title,scrape_date,rating,salary
24h,Geylang Serai,The Plexxie Global Company Pte. Ltd.,Social Media Manager Intern,2026-01-06 16:38:40,Not Rated,Not Provided
12d,Singapore,"PERSOL
3.5",Senior Executive Assistant,2026-01-06 16:38:54,Not Rated,Not Provided
30d+,Changi Village,"SATS
3.3",SATS Internship,2026-01-06 16:39:04,Not Rated,Not Provided
30d+,Singapore,"Aon Corporation
3.8","Aon Internship Programme 2026, Singapore - Innovation & Analytics",2026-01-06 16:39:07,Not Rated,Not Provided
25d,Singapore,"Income Insurance Limited
3.5",Summer Internship 2026 - External Fund Management,2026-01-06 16:39:10,Not Rated,$98K - $156K (Glassdoor Est.)
30d+,Singapore,"Infosys Singapore & Australia
3.6",Data Analyst (Internship),2026-01-06 16:39:12,Not Rated,Not Provided
30d+,Singapore,"ShopBack
3.5",Data Analyst (Internship),2026-01-06 16:39:14,Not Rated,Not Provided
30d+,Singapore,"OCBC Bank
3.4","Internship: Global Wholesale Banking, Data Analytics [January â€“ May 2026]",2026-01-06 16:39:18,Not Rated,Not Provided
30d+,Queenstown Estate,AIKIT PTE. LTD.,Data Analytics Intern,2026-01-06 16:39:20,Not Rated,Not Provided
30d+,Singapore,"TikTok
3.2",Business Data Analyst Project Intern (GBS) - 2026 Start (BS/MS),2026-01-06 16:39:23,Not Rated,Not Provided
27d,Singapore,"Income Insurance Limited
3.5",Summer Internship 2026 - Innovation & Analytics,2026-01-06 16:39:25,Not Rated,Not Provided
6d,Singapore,"Income Insurance Limited
3.5",Summer Internship 2026 - Data Scientist,2026-01-06 16:39:28,Not Rated,$83K - $102K (Glassdoor Est.)
13d,Queenstown Estate,"GSK
4.0","Internship - Data Analytics and Gen AI for Audit & Assurance, Singapore (July to December 2026)",2026-01-06 16:39:31,Not Rated,Not Provided
17d,Singapore,"Publicis Groupe Holdings B.V
3.8",Data Intelligence Intern,2026-01-06 16:39:33,Not Rated,Not Provided
30d+,Queenstown Estate,"Procter & Gamble
4.1",Data Science Intern (Semester 2026) - P&G Management Internship Program - Bachelor's Degree or above,2026-01-06 16:39:38,Not Rated,Not Provided
30d+,Singapore,"Parfums Christian Dior (PCD)
3.6",Data Analytics & Project Management (AI) Intern - Travel Retail,2026-01-06 16:39:40,Not Rated,Not Provided
30d+,Singapore,"Funding Societies | Modalku Group
3.1",Financial Product Intern (Summer Internship),2026-01-06 16:39:42,Not Rated,Not Provided
28d,Singapore,"PwC
3.7",One Deals Summer Internship (May - Aug 26),2026-01-06 16:39:45,Not Rated,Not Provided
7d,Singapore,Maritime Singapore Connect,Employment Type Internship,2026-01-06 16:39:47,Not Rated,Not Provided
29d,Singapore,"Income Insurance Limited
3.5",Summer Internship 2026 - Data Governance,2026-01-06 16:39:51,Not Rated,Not Provided
30d+,Singapore,"Citi
3.7","Wealth - Citigold, Summer Analyst, Singapore, 2026",2026-01-06 16:39:54,Not Rated,Not Provided
30d+,Singapore,"Louis Dreyfus Company
4.1","Internship Program, Data Science",2026-01-06 16:39:57,Not Rated,Not Provided
30d+,Singapore,"Shopee
3.7","Business Analyst, Shopee COO Office (2026 Graduates)",2026-01-06 16:40:01,Not Rated,Not Provided
30d+,Singapore,"Standard Chartered
3.8",Wealth and Retail Banking Internship Programme Singapore 2026,2026-01-06 16:40:04,Not Rated,Not Provided
30d+,Singapore,"Standard Chartered
3.8",Financial Markets Internship Programme Singapore 2026,2026-01-06 16:40:08,Not Rated,Not Provided
30d+,Singapore,"Guerlain
4.0",Business Intelligence Demand Intern,2026-01-06 16:40:11,Not Rated,Not Provided
30d+,Queenstown Estate,"Procter & Gamble
4.1",IT Commercial Analytics Intern (Semester 2026) - P&G Management Internship Program,2026-01-06 16:40:14,Not Rated,Not Provided
30d+,Singapore,"SWAT Mobility Pte. Ltd.
4.9",(Internship) Business Solution Delivery Associate / Project Management,2026-01-06 16:40:17,Not Rated,Not Provided
30d+,Singapore,"Suntory Oceania
3.6",Data Analyst / Data Science Intern,2026-01-06 16:40:21,Not Rated,Not Provided
30d+,Singapore,"Bosch Group
4.0","Intern, Data Analyst",2026-01-06 16:40:23,Not Rated,Not Provided
